address,total_fees,total_txs
cosmos1l9c76gfyde3guxm47jmel76tg7fxr8acmwq89x,"[{""denom"":""uatom"",""amount"":15984170}]",2696
cosmos1kn4tkqezr3c7zc43lsu5r4p2l2qqf4mp3hnjax,"[{""denom"":""uatom"",""amount"":31332591}]",2451
cosmos19nwjcna4vc7nf5f5ykfnkenvpj7cng3drcejkt,"[{""denom"":""uatom"",""amount"":59495499}]",2281
cosmos1nmfytuc2s4qt7ru5lj9hnm68kkkauh85w2sy5m,"[{""denom"":""uatom"",""amount"":1731667}]",1899
cosmos1qt43egqw70amh4xrtrahysj3tvu7hftqgl4nw3,"[{""denom"":""uatom"",""amount"":2527485}]",1791
cosmos14n3tx8s5ftzhlxvq0w5962v60vd82h30sythlz,"[{""denom"":""uatom"",""amount"":22399}]",1711
cosmos1rw0n4xn4uaa42hg8eu4guequw83da5hy6dhunt,"[{""denom"":""uatom"",""amount"":16066328}]",1597
cosmos19985jnamslc62j6f5nqdxk9yecw7ece6rsa3pq,"[{""denom"":""uatom"",""amount"":106565}]",1472
cosmos18p5jxxtsgdcn2un0jarase89a2cgtetygzmyjw,"[{""denom"":""uatom"",""amount"":674566}]",1456
cosmos1g32jmyypa88zrxc08gj437pk4v9y5tx9eqprfh,"[{""denom"":""uatom"",""amount"":8688838}]",1269
cosmos1sag4vntmja3x9dhgfzwayd6c2eqdft67jvv8t9,"[{""denom"":""uatom"",""amount"":158497}]",1264
cosmos1a0q8rqxy9npr3hysrammsegrxwekuamw9j5cj4,"[{""denom"":""uatom"",""amount"":0}]",1125
cosmos1p77vhym3s7zjmecqg3sd40u4mm6phu866y5g76,"[{""denom"":""uatom"",""amount"":0}]",1114
cosmos1f9zxzflmxvk2sjfzthdr22aq703kz3qknvh0kq,"[{""denom"":""uatom"",""amount"":5192820}]",1090
cosmos1s698xmm0ff4mvhxynpenx7zlf04c3x0lrp5tyz,"[{""denom"":""uatom"",""amount"":1258758}]",1033
cosmos1m4prlvvc5fmgxrpx5cakkv3q37wvfxvkwglmgq,"[{""denom"":""uatom"",""amount"":3557852}]",977
cosmos1fs3qfj2nngy6q27lfvvnvw47220yw2augkj6hq,"[{""denom"":""uatom"",""amount"":359314}]",897
cosmos1tf9jsz7lzmhhgp3x00p7e90u5qc50dkz87hexx,"[{""denom"":""uatom"",""amount"":2038199}]",852
cosmos1fgvjh8tpf7k4twp2zttrzewu645wmfsqs0x3sr,"[{""denom"":""uatom"",""amount"":2897204}]",805
cosmos1xqhlshlhs5g0acqgrkafdemvf5kz4pp4s346zh,"[{""denom"":""uatom"",""amount"":1721388}]",662
cosmos18mzmujl3spvhhna994k2ajfhtu523kguraqet3,"[{""denom"":""uatom"",""amount"":622}]",622
cosmos1ks0qeq9vyt9l7vgasaajd49ff0k8klure6ez4n,"[{""denom"":""uatom"",""amount"":684649}]",555
cosmos1kyzw2qm9ps5yrpgnzdy7f6r7fxmp890xvcfudj,"[{""denom"":""uatom"",""amount"":967904}]",534
cosmos140l24cnky5z096tzn2hf8htaha9j7h0zaq5sn4,"[{""denom"":""uatom"",""amount"":5648801}]",487
cosmos1xg9t9599lr8d35v2a3fspqcl6yt8q4rtz6zhtm,"[{""denom"":""uatom"",""amount"":439008}]",450
cosmos1n0y6k6mhelww67r8u7h8tfhnz8uejgmy5m5udj,"[{""denom"":""uatom"",""amount"":1039754}]",448
cosmos1jhagxek9ehytnlzz6fjruj6vrrs2jjtdl36the,"[{""denom"":""uatom"",""amount"":659450}]",375
cosmos1qrtkxzhk5l4ze4sfkl9x0sjqs8hnwka7v3lm8z,"[{""denom"":""uatom"",""amount"":857030}]",305
cosmos1eph9l243wcr6837lfug0h496tud7ea5g4rhrnh,"[{""denom"":""uatom"",""amount"":154719}]",303
cosmos1je4kp87c8mxv9kda9ws2ayh9357qac8tzfgchc,"[{""denom"":""uatom"",""amount"":70167}]",281
cosmos1y5s2s667jghlud3nrkk7gnh3sq8x2s86t2hdz0,"[{""denom"":""uatom"",""amount"":2186069}]",242
cosmos1gax6djuc9ty29cmp6skpx06npr33d264m63wu0,"[{""denom"":""uatom"",""amount"":2301942}]",234
cosmos1xjnqapad9cnvgyuy0566852nmct45fzazj246n,"[{""denom"":""uatom"",""amount"":374032}]",224
cosmos1zqaly38f4ydgmncgkxqnyu4wtu9wahf3zxv29n,"[{""denom"":""uatom"",""amount"":1854951}]",162
cosmos1gywrj4u8k20f87etzpagq44k9vlqtja0cq8k8d,"[{""denom"":""uatom"",""amount"":20330}]",156
cosmos14uyfxlv00lj0qhcwt7vms2rsf7kxuld75qcj6u,"[{""denom"":""uatom"",""amount"":42343}]",151
cosmos1frckycjsyk98mu43jh69ptjrdvxcm74v5flpym,"[{""denom"":""uatom"",""amount"":1342500}]",130
cosmos1lkuze4xyrenal92n76yfuchtf23ekdl7zfeu29,"[{""denom"":""uatom"",""amount"":1663735}]",129
cosmos1qsw7s4t3qytulkv9w7ymq0ylve56fpvtca9ddu,"[{""denom"":""uatom"",""amount"":21071}]",127
cosmos1fjppc038udty5lquva2fc72967y4mchsknt9k9,"[{""denom"":""uatom"",""amount"":1470300}]",124
