address,total_fees,total_txs
cosmos1elceqku2k7a5epwptxqdaekmptkej89ur52kem,"[{""denom"":""uatom"",""amount"":17962}]",3
cosmos13y7ln8ka7csv47sed2erm9kxtjcnxv998sjyxj,"[{""denom"":""uatom"",""amount"":8263}]",3
cosmos1wy3mlgf6vehq6f5gfjagsgr7rpmu4c3yy6c8a9,"[{""denom"":""uatom"",""amount"":7903}]",3
cosmos175r035xds0yrvklj4wmvy0e6ggjssf9u6rmdv3,"[{""denom"":""uatom"",""amount"":22775}]",2
cosmos19vlgreskp56vduq33jt6jnfe8rr98chhgvqgt6,"[{""denom"":""uatom"",""amount"":18750}]",2
cosmos144uv025y23x4zmjx9etncaj3acr0qxzy3f0mgp,"[{""denom"":""uatom"",""amount"":9649}]",2
cosmos19lqml2st8m6mwzxr2swesdu6qwt683y6zh77f8,"[{""denom"":""uatom"",""amount"":896}]",2
cosmos1gad4a6nr2j0hj8kexy9vanc9x5esn4y3j020vk,"[{""denom"":""uatom"",""amount"":""131674""}]",1
cosmos1zzz5xcwyzmk9tpky4te903vsxh55sfslvfzecf,"[{""denom"":""uatom"",""amount"":""1996""}]",1
cosmos1pg87a58g3rjsseqkzde6p8quu3az6c8ltk6dpy,"[{""denom"":""uatom"",""amount"":""3750""}]",1
cosmos177epemfjfz65j8u0dfy79953k8myw8fcjw5kth,"[{""denom"":""uatom"",""amount"":""6253""}]",1
cosmos16vmp7sz28pnvgz6f3zm6q93y39jsd33a5v9dcq,"[{""denom"":""uatom"",""amount"":""224""}]",1
cosmos1vwrlxrxqc7gwm3a7nj73xgcsnk7krjrra5xfrf,"[{""denom"":""uatom"",""amount"":""783""}]",1
cosmos1x8rwndqtwm08ylwvz04c34wwxy95rss5m09s5h,"[{""denom"":""uatom"",""amount"":""439""}]",1
cosmos1nxn9wxdku9j080z0zmghm2m89ftxu2xz02sdt0,"[{""denom"":""uatom"",""amount"":""6013""}]",1
cosmos1xvn36cqr2v43qeqlk29mwsxcugd3z4pyygsp28,"[{""denom"":""uatom"",""amount"":""997""}]",1
cosmos1vd3hvcl6whfenh5k35xsl9cpcds2zq56w93dky,"[{""denom"":""uatom"",""amount"":""5305""}]",1
